brands,categories,countries,energy-kcal_100g,fat_100g,nutrition_data,nutrition_data_prepared_per,nutrition_grades,product_name,proteins_100g,fiber_100g,nutrition_data_per,salt_100g,saturated-fat_100g,sugars_100g,nutriments_estimated,serving_quantity,nutrition_data_prepared,no_nutrition_data
Bien,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains de mie,Pains de mie aux céréales, en:Packaged breads",France,309.0,8.5,on,100g,c,Pain mie sandwich bio* cereales 500g,8.8,4.4,100g,1.2,0.7,5.5,"{'alcohol_100g': 0.0062, 'beta-carotene_100g': 3.65854166666667e-06, 'calcium_100g': 0.0367368133333333, 'chloride_100g': 0.0028, 'cholesterol_100g': 4.13875e-05, 'copper_100g': 0.000248285583333333, 'fructose_100g': 0.0597066666666667, 'galactose_100g': 0, 'glucose_100g': 0.0866666666666667, 'iodine_100g': 7.79085, 'iron_100g': 0.0017003315, 'lactose_100g': 0.0585166666666667, 'magnesium_100g': 0.0679006, 'maltose_100g': 0.679723333333334, 'manganese_100g': 0.00110136723333333, 'pantothenic-acid_100g': 0.000825825, 'phosphorus_100g': 0.249132616666667, 'phylloquinone_100g': 2.64e-07, 'polyols_100g': 0, 'potassium_100g': 0.354368941666667, 'selenium_100g': 7.21304e-06, 'starch_100g': 23.9407333333333, 'sucrose_100g': 4.79170833333333, 'vitamin-a_100g': 1.241625e-06, 'vitamin-b12_100g': 4.0205e-08, 'vitamin-b1_100g': 0.00154182833333333, 'vitamin-b2_100g': 0.000126512583333333, 'vitamin-b6_100g': 0.000193966833333333, 'vitamin-b9_100g': 0.000101218458333333, 'vitamin-c_100g': 0.000191516666666667, 'vitamin-d_100g': 8.58e-08, 'vitamin-e_100g': 0.0101604526666667, 'vitamin-pp_100g': 0.00237059583333333, 'water_100g': 28.8917601666667, 'zinc_100g': 0.0020202765}",,,
Bonduelle,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumineuses sèches, Pois chiches, Légumineuses en conserve, Pois chiches en conserve, en:Vegetables - Prepared/Processed (Shelf Stable)",France,119.0,2.2,on,100g,a,Pois Chiches Très peu de jus 1/2,6.0,7.7,100g,0.6,0.2,0.5,"{'alcohol_100g': 0, 'beta-carotene_100g': 8.5905e-06, 'calcium_100g': 0.033360795, 'cholesterol_100g': 0, 'fructose_100g': 0.011205, 'galactose_100g': 0, 'glucose_100g': 0.011205, 'iodine_100g': 0.000239025, 'lactose_100g': 0.011205, 'maltose_100g': 0.011205, 'pantothenic-acid_100g': 0.0002241, 'phylloquinone_100g': 2.5398e-06, 'polyols_100g': 0.18675, 'potassium_100g': 0.103075195, 'sucrose_100g': 0.32868, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 2.241e-05, 'vitamin-b2_100g': 1.1205e-05, 'vitamin-b6_100g': 0.00021663, 'vitamin-b9_100g': 2.72655e-05, 'vitamin-d_100g': 0, 'vitamin-pp_100g': 0.00010458, 'water_100g': 66.5121155}",,,
L'atelier Blini,"Plant-based foods and beverages,Plant-based foods,Condiments,Spreads,Plant-based spreads,Salted spreads,Sauces,Dips,Guacamoles",France,111.0,8.3,on,100g,a,Guacamole Extra,1.5,4.2,100g,0.94,2.3,1.1,"{'alcohol_100g': 0, 'beta-carotene_100g': 2.38304076923078e-05, 'calcium_100g': 0.0101559330769232, 'cholesterol_100g': 0.0002275, 'copper_100g': 0.000167221213461539, 'fructose_100g': 0.251308307692308, 'galactose_100g': 0.0665176923076923, 'glucose_100g': 0.234429538461539, 'iodine_100g': 1.98407846153846e-05, 'iron_100g': 0.00033, 'lactose_100g': 0.0972673076923077, 'magnesium_100g': 0.0200364165384616, 'maltose_100g': 0.0974173076923077, 'manganese_100g': 0.000198558615384618, 'pantothenic-acid_100g': 0.000989171307692308, 'phosphorus_100g': 0.0371926230769231, 'phylloquinone_100g': 1.3662825e-05, 'polyols_100g': 0.240572307692308, 'potassium_100g': 0.410351022307693, 'selenium_100g': 9.39198307692308e-06, 'starch_100g': 0.180664230769233, 'sucrose_100g': 0.127765538461539, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 5.03538846153846e-05, 'vitamin-b2_100g': 3.53814230769231e-05, 'vitamin-b6_100g': 0.000163205230769231, 'vitamin-b9_100g': 6.59936907692308e-05, 'vitamin-c_100g': 0.00138095, 'vitamin-d_100g': 7.6, 'vitamin-e_100g': 0.00206176503846154, 'vitamin-pp_100g': 0.00145185565384615, 'water_100g': 70.4223992846154, 'zinc_100g': 0.000404193446153846}",,,
bio village,"Produits laitiers, Laits, Laits homogénéisés, Laits demi-écrémés, Laits UHT, Laits de vache, Laits demi-écrémés biologiques",France,46.0,1.5,on,100g,b,lait demi-écrémé,3.3,0.0,100ml,0.11,1.0,4.8,"{'alcohol_100g': 0.0, 'beta-carotene_100g': 9.45e-06, 'cholesterol_100g': 0.0057, 'copper_100g': 8.7e-06, 'fructose_100g': 0.05, 'galactose_100g': 0.05, 'glucose_100g': 0.05, 'iodine_100g': 1.21e-05, 'iron_100g': 4.5e-05, 'lactose_100g': 4.66, 'magnesium_100g': 0.0121, 'maltose_100g': 0.05, 'manganese_100g': 3.1e-06, 'pantothenic-acid_100g': 0.00041, 'phosphorus_100g': 0.0891, 'phylloquinone_100g': 2e-07, 'polyols_100g': 0.0, 'potassium_100g': 0.167, 'selenium_100g': 5e-06, 'starch_100g': 0.0, 'sucrose_100g': 0.05, 'vitamin-a_100g': 1.92e-05, 'vitamin-b12_100g': 3.8e-07, 'vitamin-b1_100g': 6e-05, 'vitamin-b2_100g': 0.00018, 'vitamin-b6_100g': 3.7e-05, 'vitamin-b9_100g': 9.49e-06, 'vitamin-c_100g': 0.0015, 'vitamin-d_100g': 2.5e-07, 'vitamin-e_100g': 0.00013, 'vitamin-pp_100g': 9.3e-05, 'water_100g': 89.4, 'zinc_100g': 0.00039}",,,
Flash,"Snacks,Sweet snacks,Confectioneries,Chewing gum,Chewing gum with sugar","France, en:morocco",350.0,2.1,on,100g,not-applicable,Flash Wondermint Gum,4.1,1.8,100g,,0.5,59.0,,,,
Barilla,"Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta secca, Pasta di grano duro, en:Dry durum wheat pasta, Penne, Penne Rigate","Austria, Croatia, France, Germany, Switzerland, en:italy",359.0,2.0,on,100g,a,Penne Rigate,13.0,3.0,100g,0.01,0.5,3.5,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.0144575, 'cholesterol_100g': 0, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 0, 'lactose_100g': 0, 'maltose_100g': 0, 'pantothenic-acid_100g': 0, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.1141825, 'sucrose_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 0, 'vitamin-b6_100g': 7.05e-05, 'vitamin-b9_100g': 0, 'vitamin-d_100g': 0, 'vitamin-pp_100g': 0, 'water_100g': 34.075}",,,
Heinz,"Condiments,Matières grasses,Sauces,Mayonnaises,en:groceries","France,Allemagne,Maroc",644.0,70.0,on,100g,c,Mayonnaise American Style,0.8,,100g,1.0,6.7,1.5,,,,
nutella,"Koek, snoep, chocolade, Koek, Koekjes met chocolade",Belgium,515.0,24.8,on,100g,e,biscuits,7.9,,100g,0.559,11.5,35.8,,,,
Aiguebelle,"Chocolats,Chocolats édulcorés,Chocolats noirs,Chocolats noirs aux édulcorants,Chocolat noir en tablette sans sucres ajoutés avec édulcorants",en:ma,541.0,45.5,on,100g,d,Tentation,7.0,,100g,0.01,27.3,0.2,,,,
Ocean Spray,"Aliments et boissons à base de végétaux, Boissons, Surgelés, Boissons à base de végétaux, Boissons aux fruits, Boissons à la canneberge, Boissons avec sucre ajouté","France, en:belgium",39.0,0.0,on,100g,e,PET 1L OCEAN SPRAY CLASS,0.0,0.0,100ml,0.0,0.0,9.3,,,,
Heinz,"Smaakmakers, Sauzen, Tomatensauzen, Tomato frito sauzen, en:tom","Morocco,Netherlands,Belgium",73.0,3.5,on,100g,a,Tomato Frito,1.1,,100g,0.91,0.4,6.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 0.00041642505, 'calcium_100g': 0.0078201305, 'cholesterol_100g': 0, 'copper_100g': 2.914455e-05, 'fiber_100g': 1.12156, 'fructose_100g': 1.29843, 'galactose_100g': 0, 'glucose_100g': 1.001646, 'iodine_100g': 2.0238555, 'iron_100g': 0.00011982225, 'lactose_100g': 0, 'magnesium_100g': 0.00946694875, 'maltose_100g': 0, 'manganese_100g': 6.832255e-05, 'pantothenic-acid_100g': 0.0001947645, 'phosphorus_100g': 0.02535977, 'phylloquinone_100g': 7.326855e-06, 'polyols_100g': 0.01205685, 'potassium_100g': 0.2378818975, 'selenium_100g': 4.7578075e-06, 'starch_100g': 0.937425, 'sucrose_100g': 1.6966, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 3.617055e-05, 'vitamin-b2_100g': 1.803075e-05, 'vitamin-b6_100g': 7.6104775e-05, 'vitamin-b9_100g': 2.106389e-05, 'vitamin-c_100g': 0.014375475, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.000612117, 'vitamin-pp_100g': 0.00060316575, 'water_100g': 87.376002425, 'zinc_100g': 8.499335e-05}",,,
"Lactalis, Président","Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages de vache,Frais,Fromages en tranches,Fromages fondus,Fromages fondus à l'emmental et au cheddar",France,231.0,17.0,on,100g,e,PRESIDENT BURGER CHEDDAR EMMENTAL 12 TRANCHES 200g,13.5,,100g,2.36,12.0,4.5,,,,
Danone,"Dairies, Fermented foods, Fermented milk products, Cheeses, Spreads, Salted spreads, Cheese spreads, Cottage cheeses, en:fresh-cheeses",fr,87.7777777777778,3.72222222222222,on,100g,b,Cottage cheese,12.0,,,0.759722222222222,2.38888888888889,1.61111111111111,"{'alcohol_100g': 0, 'beta-carotene_100g': 6.904275e-06, 'calcium_100g': 0.12140891375, 'cholesterol_100g': 0.0024658125, 'copper_100g': 1.2861525e-05, 'fiber_100g': 0, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 3.66854475e-05, 'iron_100g': 3.1572625e-05, 'lactose_100g': 4.86258225, 'magnesium_100g': 0.011462908125, 'maltose_100g': 0, 'manganese_100g': 6.2452875e-06, 'pantothenic-acid_100g': 0.000355077, 'phosphorus_100g': 0.097700875, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.15496857875, 'selenium_100g': 1.64071825e-06, 'sucrose_100g': 0, 'vitamin-a_100g': 1.7556585e-06, 'vitamin-b12_100g': 4.8329925e-07, 'vitamin-b1_100g': 4.2411975e-05, 'vitamin-b2_100g': 0.0001775385, 'vitamin-b6_100g': 4.33983e-05, 'vitamin-b9_100g': 4.8329925e-06, 'vitamin-c_100g': 0.0012822225, 'vitamin-d_100g': 7.3974375e-08, 'vitamin-e_100g': 8.876925e-06, 'vitamin-pp_100g': 9.07419e-05, 'water_100g': 89.5584946125, 'zinc_100g': 0.0004148582}",,,
Mars,Barres chocolatées au caramel,"Belgium, France, Germany, Italy, Morocco, Spain, en:turkey",443.0,15.88235,on,100g,e,Mars,4.5098,,,0.670875,7.45098,61.8,"{'alcohol_100g': 0, 'beta-carotene_100g': 5.072265625, 'fiber_100g': 0.0268880208333319, 'fructose_100g': 0.000324479166666662, 'galactose_100g': 0.000233333333333333, 'glucose_100g': 0.000324479166666662, 'iodine_100g': 1.65424479166658e-06, 'lactose_100g': 6.19509114583333, 'maltose_100g': 0.000324479166666662, 'pantothenic-acid_100g': 0.000409098958333333, 'phosphorus_100g': 0.113338385416667, 'phylloquinone_100g': 6.58984375, 'polyols_100g': 0.000227864583333321, 'starch_100g': 0.00774739583333293, 'sucrose_100g': 76.5143869791667, 'vitamin-b12_100g': 4.69018229166667e-07, 'vitamin-b1_100g': 5.02377604166667e-05, 'vitamin-b2_100g': 0.00018968515625, 'vitamin-b6_100g': 4.90063802083333e-05, 'vitamin-b9_100g': 4.23919270833333e-06, 'vitamin-c_100g': 0.00071189453125, 'vitamin-d_100g': 9.76536458333315e-09, 'vitamin-pp_100g': 0.0001072203125, 'water_100g': 0.36398271484375}",,,
Cerave,produits pour la peau,Marruecos,,,,,unknown,Hydrating cleanser,,,,,,,,,,
St Michel,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Madeleines, Madeleines natures","France, en:reunion",441.0,22.0,on,100g,d,Petites Madeleines,5.8,1.1,100g,0.72,2.3,23.0,,,,
"U, U Bio","Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Unsweetened beverages,Oat-based drinks",France,43.0,1.2,on,100g,c,Boisson avoine - 1L,0.5,0.8,100g,0.08,0.2,5.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 6.925, 'calcium_100g': 0.016630168, 'chloride_100g': 0.0077, 'cholesterol_100g': 0, 'copper_100g': 8.77817e-05, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 2.7423e-05, 'iron_100g': 0.0005529635, 'lactose_100g': 0, 'magnesium_100g': 0.0320417465, 'maltose_100g': 0, 'manganese_100g': 0.000545346872, 'pantothenic-acid_100g': 0, 'phosphorus_100g': 0.057755755, 'phylloquinone_100g': 1.108e-08, 'polyols_100g': 0, 'potassium_100g': 0.050656513, 'selenium_100g': 7.0815e-07, 'starch_100g': 5.786, 'sucrose_100g': 0, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 0, 'vitamin-b6_100g': 1.32e-05, 'vitamin-b9_100g': 0, 'vitamin-c_100g': 0, 'vitamin-d_100g': 3.601, 'vitamin-e_100g': 0.00170711, 'vitamin-pp_100g': 0, 'water_100g': 84.4684905, 'zinc_100g': 0.0004490107}",,,
S Môret,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages à tartiner, Fromage-allege",France,765.0,8.0,on,100g,c,St Moret Ligne & Plaisir 8%  Minis,10.0,,,1.0,5.5,5.0,,,,
Van Houten,"Cacao et dérivés,Cacaos et chocolats en poudre,Cacaos en poudre",France,302.0,11.0,on,100g,unknown,Cacao non sucré Le Bio,23.0,32.0,100g,0.08,6.4,0.7,,,,
"Alvalle, Pepsico","plant-based-foods-and-beverages,plant-based-foods,fruits-and-vegetables-based-foods,meals,soups,refrigerated-foods,vegetable-soups,cold-soups,refrigerated-meals,gazpacho,refrigerated-soups,refrigerated-vegetable-soups,salmorejo,Salmorejos","France,Espagne,Suisse",75.0,4.9,on,100g,b,Gazpacho salmorejo,1.1,1.1,100ml,0.63,0.7,2.8,"{'alcohol_100g': 0.00133, 'beta-carotene_100g': 0.0003299278, 'calcium_100g': 0.00799269875, 'cholesterol_100g': 0.0, 'copper_100g': 2.491555e-05, 'fructose_100g': 1.0875875, 'galactose_100g': 0.0, 'glucose_100g': 0.8530075, 'iodine_100g': 6.939075e-06, 'iron_100g': 9.951534, 'lactose_100g': 0.012065, 'magnesium_100g': 0.00788358875, 'maltose_100g': 0.012205, 'manganese_100g': 5.40048875e-05, 'pantothenic-acid_100g': 0.0001576685, 'phosphorus_100g': 0.020832075, 'phylloquinone_100g': 8.421587e-06, 'polyols_100g': 0.043086, 'potassium_100g': 0.18979159875, 'selenium_100g': 4.3704775e-06, 'starch_100g': 0.0255385, 'sucrose_100g': 0.059585, 'vitamin-a_100g': 0.0, 'vitamin-b12_100g': 0.0, 'vitamin-b1_100g': 2.92857e-05, 'vitamin-b2_100g': 1.680825e-05, 'vitamin-b6_100g': 7.11204, 'vitamin-b9_100g': 1.8714035e-05, 'vitamin-c_100g': 0.013682925, 'vitamin-d_100g': 6.565, 'vitamin-e_100g': 0.00158211625, 'vitamin-pp_100g': 0.0004532755, 'water_100g': 86.00398505, 'zinc_100g': 7.7870575e-05}",,,
Guedila,"Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux minérales naturelles,Eau minérale naturelle non gazeuse",Algérie,0.0,0.0,on,100g,a,Guedila,0.0,0.0,100ml,0.00725,0.0,0.0,,,,
Coca-Cola,"Bevande, Bevande effervescente, Bevande artificialmente zuccherate, Bibite gassate, Bevande dietetiche, Cola, Bibite gassate dietetiche, Cole dietetiche","France, Italy, Switzerland, en:morocco",0.2,0.0,on,100g,c,Coca cola zero,0.0,,,0.02,0.0,0.0,,,,
"Bio+, Maggi","Produits déshydratés, Produits lyophilisés à reconstituer, Bouillons, Bouillons déshydratés, Bouillons cubes, Bouillons de volaille, en:groceries, Condiments, en:Tenderisers",France,,,,100ml,c,MAGGI Bouillon KUB BIO Volaille 80g,,,100g,,,,,,on,
Pierre Martinet,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Graines,Céréales et dérivés,Plats préparés,Céréales en grains,Quinoa,Plats à base de quinoa",France,217.0,10.0,on,100g,b,"Quinoa croquant, amandes et noisettes",7.2,4.5,,0.68,0.9,4.5,,,,
Gervais,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Fromages, Desserts lactés, Fromages à la crème",en:ma,255.0,23.0,on,100g,d,Gervais fromage à la créme,6.0,,100g,0.6,15.6,0.0,,,,
FLORA,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads",United Kingdom,677.0,75.0,on,100g,e,BUTTERY,0.5,,,1.2775,28.0,0.5,,,,
MARRAKECH,Boissons plates aux fruits sucrées avec 10 à 50% de jus,Maroc,32.0,0.0,on,100g,e,frut,0.0,,100ml,0.00025,0.0,6.9,,,,
Vrai,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Réfrigérés,Yaourts natures",France,50.0,1.9,on,100g,b,Yaourt nature 4 x 125 g,3.9,,100g,0.1,1.3,4.3,,,,
müller,"Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir",Germany,46.0,1.5,on,100g,b,Kefir - Pur,3.4,,,0.12,1.0,4.1,,,,
Ben & Jerry's,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream tubs,Luxury ice cream in a cup","Austria,Belgium,Bulgaria,Finland,France,Germany,Lithuania,Spain,United Kingdom",273.0,15.0,on,100g,d,Cookie Dough Vanilla Ice Cream with Chunks of Chocolate Chip Cookie Dough,4.1,0.5,100g,0.17,8.0,25.0,,,,
Hacendado,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,Muesli","Spain, en:portugal",477.0,22.7,on,100g,a,Granola baja en azúcares,13.6,8.5,100g,0.02,3.5,4.7,,,,
"Biscuiterie De L'Abbaye, Lidl, Sondey","Snacks,Sweet snacks,Biscuits and cakes,Biscuits",France,481.0,21.0,on,100g,d,Organic Sesame Biscuits,9.6,4.7,100g,0.5,2.3,20.0,"{'alcohol_100g': 0.08225, 'beta-carotene_100g': 3.78625e-06, 'calcium_100g': 0.1645917, 'cholesterol_100g': 0.0002275, 'copper_100g': 0.0003791225, 'fructose_100g': 0.061672, 'galactose_100g': 3.5e-05, 'glucose_100g': 0.061945, 'iodine_100g': 9.334e-06, 'iron_100g': 0.0032629475, 'lactose_100g': 0.99025, 'magnesium_100g': 0.0900214375, 'maltose_100g': 0.635072, 'manganese_100g': 0.001507004, 'pantothenic-acid_100g': 0.00036055, 'phosphorus_100g': 0.229834125, 'phylloquinone_100g': 2.5675e-07, 'polyols_100g': 0, 'potassium_100g': 0.264139125, 'selenium_100g': 1.107375e-05, 'starch_100g': 36.225, 'sucrose_100g': 20.837035, 'vitamin-a_100g': 1.70625e-07, 'vitamin-b12_100g': 7.035e-08, 'vitamin-b1_100g': 0.000268825, 'vitamin-b2_100g': 6.5695e-05, 'vitamin-b6_100g': 0.0001771975, 'vitamin-b9_100g': 2.890825e-05, 'vitamin-c_100g': 0.00025925, 'vitamin-d_100g': 8.319e-08, 'vitamin-e_100g': 0.0020906225, 'vitamin-pp_100g': 0.000634025, 'water_100g': 8.2564125, 'zinc_100g': 0.0019885825}",,,
Fleury Michon,"Viandes et dérivés, Viandes, Charcuteries, en:Specific products, Porc et dérivés, en:Products for specific diets, Porc, Charcuteries cuites, Produits à teneur réduite en sel, Rôtis de porc, Charcuteries à teneur réduite en sel","France,en:france",122.0,2.5,on,100g,c,Rôti de Porc - 25% de sel*,24.0,,100g,1.4,0.9,0.9,"{'alcohol_100g': 0, 'beta-carotene_100g': 6.08e-07, 'calcium_100g': 0.006820545, 'cholesterol_100g': 0.0617175, 'copper_100g': 9.478025e-05, 'fiber_100g': 0.0257, 'fructose_100g': 0.00023, 'galactose_100g': 0.00015, 'glucose_100g': 0.00024, 'iodine_100g': 1.396165e-05, 'iron_100g': 0.0009263485, 'lactose_100g': 0, 'magnesium_100g': 0.0266452, 'maltose_100g': 0, 'manganese_100g': 2.958465e-05, 'pantothenic-acid_100g': 1.82e-06, 'phosphorus_100g': 0.231305, 'phylloquinone_100g': 1.44e-07, 'polyols_100g': 0, 'potassium_100g': 0.407401, 'selenium_100g': 4.125e-08, 'starch_100g': 0.0106, 'sucrose_100g': 0.54892, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 1.2e-07, 'vitamin-b2_100g': 1.095e-07, 'vitamin-b6_100g': 0.00056573, 'vitamin-b9_100g': 2.18e-08, 'vitamin-c_100g': 2.5e-07, 'vitamin-d_100g': 1.3e-10, 'vitamin-e_100g': 0.00015793, 'vitamin-pp_100g': 4.6e-07, 'water_100g': 72.5501375, 'zinc_100g': 0.00246851}",,,
Tipiak,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Cereal semolinas,Wheat semolinas,Durum wheat semolinas,Durum wheat semolinas for couscous",France,,,,100g,a,Couscous parfumé aux épices douces,,,,,,,,,on,
Tipiak,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Chapelure, Chapelure de blé, en:groceries","France,Luxembourg",360.0,1.6,on,100g,c,Chapelure dorée,9.5,4.5,,1.18,0.4,4.3,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.92625e-06, 'calcium_100g': 0.02736757, 'cholesterol_100g': 2.065e-06, 'copper_100g': 0.00027823, 'fructose_100g': 0.09882, 'galactose_100g': 0, 'glucose_100g': 0.1, 'iodine_100g': 2.0856e-05, 'iron_100g': 0.002186961, 'lactose_100g': 0.09882, 'magnesium_100g': 0.072611485, 'maltose_100g': 1.034572, 'manganese_100g': 0.002167019, 'pantothenic-acid_100g': 0.00050183, 'phosphorus_100g': 0.2226432, 'phylloquinone_100g': 3.9528e-07, 'polyols_100g': 0, 'potassium_100g': 0.28517371, 'selenium_100g': 9.88495e-06, 'starch_100g': 58.27222, 'sucrose_100g': 0.550678, 'vitamin-a_100g': 6.195e-08, 'vitamin-b12_100g': 2.006e-09, 'vitamin-b1_100g': 0.000323838, 'vitamin-b2_100g': 1.08115e-05, 'vitamin-b6_100g': 0.000113245, 'vitamin-b9_100g': 2.935741e-05, 'vitamin-c_100g': 0.00024705, 'vitamin-d_100g': 1.28466e-07, 'vitamin-e_100g': 0.0007765952, 'vitamin-pp_100g': 0.000158265, 'water_100g': 12.2101793, 'zinc_100g': 0.0019164492}",,,
Bonne Maman,"Snacks,Desserts,Sweet snacks,Biscuits and cakes,Biscuits,Cakes,Chocolate cakes,Madeleines,Chocolate madeleines",France,462.0,27.0,on,100g,e,La Madeleine chocolat au lait,6.1,1.3,100g,0.66,16.0,33.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.4228e-05, 'calcium_100g': 0.0603207625, 'cholesterol_100g': 0.127496, 'copper_100g': 0.00012513625, 'fructose_100g': 0.0545, 'galactose_100g': 0.02, 'glucose_100g': 0.089675, 'iodine_100g': 1.286225e-05, 'iron_100g': 0.00140680625, 'lactose_100g': 1.9482, 'magnesium_100g': 0.02825221875, 'maltose_100g': 0.25225, 'manganese_100g': 0.0005292585, 'pantothenic-acid_100g': 0.000612175, 'phosphorus_100g': 0.1266875, 'phylloquinone_100g': 2.7572e-06, 'polyols_100g': 0, 'potassium_100g': 0.1756655625, 'selenium_100g': 6.1825125e-06, 'starch_100g': 12.8475, 'sucrose_100g': 27.38125, 'vitamin-a_100g': 0.000201176, 'vitamin-b12_100g': 3.882e-07, 'vitamin-b1_100g': 7.7775e-05, 'vitamin-b2_100g': 0.00013772, 'vitamin-b6_100g': 6.18e-05, 'vitamin-b9_100g': 1.53515e-05, 'vitamin-c_100g': 0.0003053, 'vitamin-d_100g': 8.745e-07, 'vitamin-e_100g': 0.0010612, 'vitamin-pp_100g': 7.643e-05, 'water_100g': 20.192141875, 'zinc_100g': 0.0007883}",,,
BjORG,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Galettes de céréales soufflées, Galettes de riz soufflé, Galettes de riz complet soufflé","Belgium,France,Luxembourg,Switzerland",390.0,5.6,on,100g,b,Galettes riz sésame,9.2,3.9,,0.275,0.8,0.6,"{'alcohol_100g': 0, 'beta-carotene_100g': 2.4e-07, 'calcium_100g': 0.0775526, 'cholesterol_100g': 0, 'copper_100g': 0.00025664, 'fructose_100g': 0.0952352, 'galactose_100g': 0, 'glucose_100g': 0.095336, 'iodine_100g': 3.84, 'iron_100g': 0.00219288, 'lactose_100g': 0.095, 'magnesium_100g': 0.0452933, 'maltose_100g': 0.0952352, 'manganese_100g': 0.001, 'pantothenic-acid_100g': 2.4e-06, 'phosphorus_100g': 0.141156, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.1374478, 'selenium_100g': 1.273e-06, 'starch_100g': 73.9292, 'sucrose_100g': 0.16544, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 3.792e-05, 'vitamin-b2_100g': 1.2e-05, 'vitamin-b6_100g': 0.00016142, 'vitamin-b9_100g': 4.656e-06, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 8.8e-05, 'vitamin-pp_100g': 0.00021696, 'water_100g': 12.042094, 'zinc_100g': 0.001615196}",,,
